index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,1000000.0_daily_basic_earning_in_%,1000000.0_Mining_Reward,1000000.0_Mining_Reward_Annually
2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4368571.428571428,7425.714285714285,121133428.26018982,112266441.88115157,0.006080001512685569,0.07918415837050981,28.90221780523608
3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,47638571.428571425,80985.71428571429,180546403.88662195,170592232.36861956,0.04460882317244406,0.014373900442628098,5.246473661559255
4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,911428.5714285715,1548.5714285714287,6289282.062723925,4809069.942874651,0.021244498638494782,0.019299362807170248,7.044267424617141
5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,7590006.090194282,6710658.092082913,0.021244498638494782,0.029079579735192367,10.614046603345214
6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,984285.7142857143,1672.857142857143,7493715.201912532,6897042.220786462,0.019695234689296685,0.014196625175014015,5.181768188880115
7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,6741428.571428572,11461.42857142857,267303703.54599017,243294080.07096744,0.004271811540411315,0.002294598141043723,0.8375283214809588
8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,642857.1428571428,1092.857142857143,1174911.9691657857,882451.995818309,0.05024833916732371,0.011911203966827362,4.347589447891987
9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,448571.4285714286,762.8571428571429,2772342.7333232528,2348691.9152118936,0.02022237099822323,0.03347914685447306,12.21988860188267
10.0,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4900000.0,8330.0,37688968.17983716,33978200.176457256,0.021530685339758424,0.016025888672685954,5.849449365530373
11.0,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,2927142.8571428573,4977.142857142857,42169926.305538155,39506795.55077667,0.0115291900706913,0.013838585214575932,5.051083603320215
12.0,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10.0,1.0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,29155.714285714286,49.56428571428571,673904106.8696175,534556901.0696637,7.343900445972671e-06,4.18672033450961e-05,0.015281529220960077
13.0,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,600.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,41024285.71428572,69742.85714285714,551152.1977161246,532302.2624316044,4.496196907405004,0.8779835504923676,320.4639959297142
14.0,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,50.0,1.0,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,575714.2857142858,980.0,6367756.358322733,6137901.158533808,0.013301199881466991,0.015706486530109698,5.732867583490039
15.0,0x014608E87AF97a054C9a49f81E1473076D51d9a3,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,538571.4285714285,914.2857142857143,4443972.45902255,4202510.360410608,0.016794458847241706,0.02154947143457822,7.8655570736210505
16.0,0x1BdCebcA3b93af70b58C41272AEa2231754B23ca,10.0,1.0,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,70221.42857142857,119.37714285714286,81877084.24093233,67995544.33518222,0.00014404119540463206,0.0003249814157712146,0.11861821675649334
17.0,0xD8E2F8b6Db204c405543953Ef6359912FE3A88d6,10.0,1.0,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0.0,0.0,781521.6713892344,621935.0052046819,0.00014404119540463206,0.013824394693993007,5.0459040633074475
18.0,0x133ee93FE93320e1182923E1a640912eDE17C90C,10.0,1.0,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,251428.57142857142,427.14285714285717,3109769.1283026394,2329215.990690956,0.010393354074350884,0.006734999994788425,2.458274998097775
19.0,0x66FDB2eCCfB58cF098eaa419e5EfDe841368e489,10.0,1.0,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,9657993.295285998,7403273.886093615,0.010393354074350884,0.002668277862162654,0.9739214196893686
20.0,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,100.0,1.0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,0.0,0.0,130488183.79287556,120045109.2266357,0.010393354074350884,0.0018523895614792143,0.6761221899399132
