,index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,TVL,Farm_Liquidity,volume_24h,lp_reward_fee_24h,Mining_Reward,Mining_Reward_Annually
0,2.0,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000.0,1.0,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,180697812.71360025,166816474.7812603,3478571.4285714286,5914.285714285715,0.07356153367505537,26.84995979139521
1,3.0,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,287102827.0152066,273886371.3949039,33068571.42857143,56217.142857142855,0.012321171030841986,4.497227426257325
2,4.0,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50.0,1.0,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,8653625.673465177,6265390.701172197,1322857.142857143,2248.5714285714284,0.02448226358190212,8.936026207394274
3,5.0,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100.0,1.0,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,11784981.881851483,10386805.947048375,970000.0,1648.5714285714287,0.029535729727055406,10.780541350375223
4,6.0,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,8370984.227440669,7429559.351591994,590000.0,1004.2857142857143,0.020646035562906964,7.535802980461042
5,7.0,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,310908587.5820253,283794013.95687526,7540000.0,12817.142857142857,0.0027025049692028613,0.9864143137590443
6,8.0,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10.0,1.0,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,2770958.4843179593,1707078.8520991902,238571.42857142858,407.14285714285717,0.01797116125023421,6.5594738563354875
7,9.0,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,4028551.229880562,3325500.457517121,200000.0,340.0,0.046125672977420304,16.83587063675841
8,10.0,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,59960870.27437435,53760629.10892604,4292857.142857143,7298.571428571428,0.01426610412974393,5.207128007356535
9,11.0,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250.0,1.0,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,64473284.03553884,59611596.349946596,1894285.7142857143,3220.0,0.01286586469595808,4.6960406140246995
10,12.0,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10.0,1.0,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1055367822.4650444,836615227.8759052,69102.85714285714,117.47428571428573,3.666941300581938e-05,0.013384335747124075
11,13.0,0x16b9a82891338f9bA80E2D6970FddA79D1eb0daE,600.0,1.0,0x55d398326f99059fF775485246999027B3197955,USDT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1613989.9584948744,1569944.889141978,40277142.85714286,68470.0,1.1724560344805153,427.9464525853881
12,14.0,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,50.0,1.0,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,XRP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,8959010.563849615,7907230.758287403,500000.0,850.0,0.01939882005200499,7.080569318981822
13,15.0,0x014608E87AF97a054C9a49f81E1473076D51d9a3,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,5876774.204622504,5479903.916108353,334285.71428571426,567.1428571428571,0.027991539439003427,10.216911895236251
14,16.0,0x1BdCebcA3b93af70b58C41272AEa2231754B23ca,10.0,1.0,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,108845453.17587611,89876538.0190752,75050.0,127.58428571428571,0.000341337016245866,0.12458801092974109
15,17.0,0xD8E2F8b6Db204c405543953Ef6359912FE3A88d6,10.0,1.0,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,2419618.2248597573,1953159.9534332498,150000.0,255.71428571428572,0.015706951836695904,5.733037420394005
16,18.0,0x133ee93FE93320e1182923E1a640912eDE17C90C,10.0,1.0,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,VAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,4015416.458265762,2821740.483527573,19477.14285714286,33.11142857142857,0.010872080369200789,3.9683093347582883
17,19.0,0x66FDB2eCCfB58cF098eaa419e5EfDe841368e489,10.0,1.0,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,DAI,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,12939053.900686178,10067396.76185531,200000.0,341.42857142857144,0.0030472812429700666,1.1122576536840743
18,20.0,0x2354ef4DF11afacb85a5C7f98B624072ECcddbB1,100.0,1.0,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,161552242.08863202,151388714.39812833,3744285.714285714,6365.714285714285,0.0020264515383399376,0.7396548114940772
19,21.0,0x71b01eBdDD797c8E9E0b003ea2f4FD207fBF46cC,10.0,1.0,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,LTC,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,3074994.6110695545,2956695.849188999,65374.28571428572,111.13714285714286,0.010375835352274763,3.7871799035802884
20,22.0,0xB2678C414ebC63c9CC6d1a0fC45f43E249B50fdE,10.0,1.0,0x78650B139471520656b9E7aA7A5e9276814a38e9,BTCST,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4741565.524482826,4141616.2207643054,228571.42857142858,388.57142857142856,0.007407298910056381,2.703664102170579
21,23.0,0x05faf555522Fa3F93959F86B41A3808666093210,10.0,1.0,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,UST,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,1446681.8955257528,1095649.3787286563,1258571.4285714286,2140.0,0.028000006127450097,10.220002236519285
22,24.0,0xC5768c5371568Cf1114cddD52CAeD163A42626Ed,10.0,1.0,0x762539b45A1dCcE3D36d080F74d1AED37844b878,LINA,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,3582127.860571154,3197587.6615914027,528571.4285714285,897.1428571428571,0.009594166779675116,3.501870874581417
23,25.0,0x942b294e59a8c47a0F7F20DF105B082710F7C305,50.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb,SFP,10446813.57020383,10188903.618222443,1124285.7142857143,1910.0,0.015054705818922732,5.494967623906797
24,26.0,0x16aFc4F2Ad82986bbE2a4525601F8199AB9c832D,10.0,1.0,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4,SUSHI,2542518.6120785307,2213042.9962483384,154285.7142857143,261.42857142857144,0.013862446129581069,5.05979283729709
25,27.0,0xc13aA76AAc067c86aE38028019F414D731b3D86A,10.0,1.0,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,IOTX,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,2022388.3841008018,1936076.8562290836,248571.42857142858,421.42857142857144,0.015845543124611016,5.7836232404830215
26,28.0,0xE834bf723f5bDff34a5D1129F3c31Ea4787Bc76a,10.0,1.0,0x8519EA49c997f50cefFa444d240fB655e89248Aa,RAMP,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,4403749.803206971,2593389.8444756474,53174.28571428572,90.39714285714285,0.011829378210641535,4.3177230468841605
27,29.0,0xF3Bc6FC080ffCC30d93dF48BFA2aA14b869554bb,0.0,1.0,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,BELT,6909513.115863503,20959.76004835215,24931.428571428572,42.38285714285714,0.0,0.0
28,30.0,0xcAD7019D6d84a3294b0494aEF02e73BD0f2572Eb,50.0,1.0,0xAC51066d7bEC65Dc4589368da368b212745d63E8,ALICE,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,3472413.2324395496,2877020.6748188795,235714.2857142857,401.42857142857144,0.05331589999760877,19.460303499127203
