index,lpToken,allocPoint,isRegular,token0,token0_name,token1,token1_name,volume_24h,lp_reward_fee_24h,TVL,Farm_Liquidity,average_daily_liquidity_of_pool_in_$,average_daily_trading_volume_of_pool_in_$,exchange_fee%,1000000.0_daily_basic_earning_in_$,1000000.0_daily_basic_earning_in_BPS,5000000.0_daily_basic_earning_in_$,5000000.0_daily_basic_earning_in_BPS,10000000.0_daily_basic_earning_in_$,10000000.0_daily_basic_earning_in_BPS,total_liquidity_pool_size_in_$,1000000.0_daily_mining_reward_in_BPS,5000000.0_daily_mining_reward_in_BPS,10000000.0_daily_mining_reward_in_BPS,1000000.0_daily_mining_reward_in_$,5000000.0_daily_mining_reward_in_$,10000000.0_daily_mining_reward_in_$
2,0x0eD7e52944161450477ee417DE9Cd3a859b14fD0,4000,1,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,Cake,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4961428.571,8434.285714,130573658.5,120559163,130573658.5,4961428.571,0.17,64.10314809,0.641031481,311.0591618,0.622118324,599.9904823,0.599990482,120559163,7.695604505,7.450441848,7.165113662,769.5604505,3725.220924,7165.113662
3,0x58F876857a02D6762E0101bb5C46A8c1ED44Dc16,1100,1,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,59472857.14,101105.7143,183143344,172345679.5,183143344,59472857.14,0.17,549.0598363,5.490598363,2686.933063,5.373866126,5234.750119,5.234750119,172345679.5,1.484055401,1.450582797,1.410807169,148.4055401,725.2913986,1410.807169
4,0x28415ff2C35b65B9E5c7de82126b4015ab9d031F,50,1,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,ADA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1562857.143,2657.142857,6539749.425,4876990.235,6539749.425,1562857.143,0.17,352.4179263,3.524179263,1151.300067,2.302600134,1606.519415,1.606519415,4876990.235,1.989690312,1.183902207,0.786005123,198.9690312,591.9511033,786.0051227
5,0xDd5bAd8f8b360d76d12FdA230F8BAF42fe0022CF,100,1,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,DOT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,1060000,1802.857143,8142662.019,7165455.789,8142662.019,1060000,0.17,197.1917084,1.971917084,685.879748,1.371759496,993.7114746,0.993711475,7165455.789,2.864112142,1.922392508,1.362432863,286.4112142,961.1962542,1362.432863
6,0x824eb9faDFb377394430d2744fa7C42916DE3eCe,50,1,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,1974285.714,3357.142857,7429382.73,6774315.434,7429382.73,1974285.714,0.17,398.2667491,3.982667491,1350.486557,2.700973113,1926.139846,1.926139846,6774315.434,1.504105491,0.993126998,0.697100909,150.4105491,496.5634988,697.1009089
7,0x7EFaEf62fDdCCa950418312c6C91Aef321375A00,250,1,0x55d398326f99059fF775485246999027B3197955,USDT,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,BUSD,11207142.86,19051.42857,273226052,248975258.2,273226052,11207142.86,0.17,69.47344512,0.694734451,342.3731968,0.684746394,672.6580567,0.672658057,248975258.2,0.233890958,0.230207277,0.225762697,23.38909582,115.1036386,225.7626967
8,0x3DcB1787a95D2ea0Eb7d00887704EeBF0D79bb13,10,1,0x4B0F1812e5Df2A09796481Ff14017e6005508003,TWT,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,421428.5714,715.7142857,1252874.407,960471.3569,1252874.407,421428.5714,0.17,317.6893854,3.176893854,572.3082211,1.144616442,636.0279692,0.636027969,960471.3569,1.192916234,0.392364625,0.213373862,119.2916234,196.1823123,213.3738624
9,0x7EB5D86FD78f3852a3e0e064f2842d45a3dB6EA2,50,1,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,XVS,831428.5714,1412.857143,2667782.047,2270455.843,2667782.047,831428.5714,0.17,385.2074973,3.852074973,921.2945375,1.842589075,1115.315323,1.115315323,2270455.843,3.575461984,1.608343519,0.95297116,357.5461984,804.1717595,952.9711597
10,0x74E4716E431f45807DCF19f284c7aA99F18a4fbc,250,1,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,ETH,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,8231428.571,13992.85714,45353988.84,41148259.46,45353988.84,8231428.571,0.17,301.8695368,3.018695368,1389.448727,2.778897455,2527.885964,2.527885964,41148259.46,1.387173597,1.266937331,1.143087825,138.7173597,633.4686655,1143.087825
11,0x61EB789d75A95CAa3fF50ed7E47b96c132fEc082,250,1,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,BTCB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,4535714.286,7710,48616541.99,45307914.94,48616541.99,4535714.286,0.17,155.391724,1.55391724,718.9945224,1.437989045,1315.328359,1.315328359,45307914.94,1.26256932,1.162181989,1.057117281,126.256932,581.0909947,1057.117281
12,0xACF47CBEaab5c8A6Ee99263cfE43995f89fB3206,10,1,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,ALPHA,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,WBNB,94628.57143,161.4285714,798870094.2,642339467.4,798870094.2,94628.57143,0.17,0.201818486,0.002018185,1.004071258,0.002008143,1.99572926,0.001995729,642339467.4,0.003635216,0.003612754,0.003585063,0.363521628,1.806376889,3.585063029
